                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3907,                 1.5462,                 1.2968,                0.76957,                0.59121,                0.65146,                0.34293,                 1.4859,                0.80083,                 1.2808,               0.070043,              0.0033286,              0.0033286
                      1,                 1.1609,                0.93641,                  1.158,                0.78003,                0.61493,                0.68429,                0.36029,                 1.4827,                0.82213,                  1.284,               0.039779,              0.0063981,              0.0063981
                      2,                   1.18,                0.94741,                 1.1735,                0.82199,                0.67981,                0.74641,                0.38258,                 1.4677,                0.82955,                 1.2794,               0.009251,              0.0092036,              0.0092036
                      3,                 1.1939,                 0.9494,                  1.183,                0.76367,                0.66996,                0.72284,                0.37616,                 1.4622,                0.82498,                 1.2835,               0.008812,               0.008812,               0.008812
                      4,                 1.1498,                0.88885,                 1.1641,                0.84206,                0.69676,                0.77543,                0.41494,                 1.4338,                0.74912,                 1.2553,               0.008812,               0.008812,               0.008812
                      5,                 1.1194,                0.84854,                 1.1466,                0.83345,                 0.7319,                0.78371,                0.42701,                 1.4096,                0.73699,                 1.2619,               0.008416,               0.008416,               0.008416
                      6,                 1.0905,                0.81733,                 1.1343,                0.83134,                0.71816,                0.76933,                0.41768,                 1.4083,                 0.7241,                 1.2545,                0.00802,                0.00802,                0.00802
                      7,                 1.0616,                0.78511,                 1.1185,                0.86441,                0.75357,                0.80261,                0.44452,                 1.3817,                0.68375,                  1.245,               0.007624,               0.007624,               0.007624
                      8,                  1.042,                0.76327,                 1.1076,                0.82684,                0.75907,                 0.8107,                0.44702,                 1.3664,                0.68646,                 1.2386,               0.007228,               0.007228,               0.007228
                      9,                 1.0238,                0.73909,                  1.098,                0.86512,                0.75895,                0.81893,                0.44867,                 1.3636,                0.65809,                  1.233,               0.006832,               0.006832,               0.006832
                     10,                  1.005,                0.71701,                  1.086,                0.83957,                0.78539,                 0.8229,                 0.4599,                 1.3456,                0.65442,                 1.2205,               0.006436,               0.006436,               0.006436
                     11,                0.99113,                0.70057,                  1.082,                0.86502,                0.80736,                0.82941,                0.46239,                 1.3472,                0.63234,                 1.2307,                0.00604,                0.00604,                0.00604
                     12,                0.97693,                0.68426,                 1.0712,                0.88995,                0.78925,                0.84244,                0.47535,                 1.3369,                0.62048,                 1.2159,               0.005644,               0.005644,               0.005644
                     13,                0.96711,                 0.6704,                 1.0656,                0.86389,                0.80015,                0.83206,                0.46595,                 1.3436,                0.61293,                  1.225,               0.005248,               0.005248,               0.005248
                     14,                0.95673,                0.66111,                 1.0609,                0.88605,                0.79028,                0.84353,                0.47936,                 1.3405,                0.61215,                  1.217,               0.004852,               0.004852,               0.004852
                     15,                0.92674,                0.61566,                 1.0615,                0.87689,                0.79863,                0.84048,                0.46184,                 1.3513,                0.61934,                 1.2324,               0.004456,               0.004456,               0.004456
                     16,                 0.9119,                0.60344,                 1.0539,                0.87107,                0.80274,                 0.8471,                 0.4704,                 1.3421,                0.61761,                 1.2268,                0.00406,                0.00406,                0.00406
                     17,                0.90442,                0.59282,                 1.0481,                0.91438,                0.78875,                0.84267,                0.47933,                 1.3118,                0.60502,                 1.2057,               0.003664,               0.003664,               0.003664
                     18,                0.88856,                0.57646,                 1.0394,                0.88505,                0.79371,                0.83558,                0.47354,                 1.3198,                0.60446,                 1.2103,               0.003268,               0.003268,               0.003268
                     19,                0.87153,                0.56223,                 1.0301,                0.88065,                0.81416,                0.84625,                0.48066,                 1.3064,                0.58312,                  1.199,               0.002872,               0.002872,               0.002872
                     20,                0.86244,                0.54732,                 1.0229,                0.88508,                0.81992,                0.84684,                   0.49,                 1.3087,                0.58519,                 1.2107,               0.002476,               0.002476,               0.002476
                     21,                0.84772,                0.53504,                 1.0185,                0.91355,                0.80473,                0.85764,                0.48944,                 1.2898,                0.56851,                 1.1975,                0.00208,                0.00208,                0.00208
                     22,                0.83403,                0.52196,                  1.015,                0.89228,                0.81312,                0.85467,                0.49708,                 1.2905,                0.56408,                  1.195,               0.001684,               0.001684,               0.001684
                     23,                0.82206,                0.50605,                 1.0067,                0.90763,                0.81996,                0.86104,                0.49664,                 1.2842,                 0.5599,                 1.1885,               0.001288,               0.001288,               0.001288
                     24,                 0.8035,                0.48903,                 0.9973,                0.87749,                0.82894,                  0.854,                0.49493,                 1.2805,                0.55502,                 1.1848,               0.000892,               0.000892,               0.000892
